Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-59.845474	1.9784759	-56.84398	-62.253925	1000.0	-0.21003039	0.15040551	0.27245662	-1.3655487	4000	-0.03771504	26.981895	-9.0524554e-07	-0.011867523	3.6930504	1.7583375e-09	1.5310099124908447
1	-55.545937	3.1070113	-51.124428	-59.5753	1000.0	-0.18191661	0.15483174	0.45905286	-1.3442979	8000	-0.05509673	25.13703	-5.699694e-07	-0.012588501	3.693977	8.660554e-08	2.618506908416748
2	-59.389656	3.7472255	-55.79454	-65.04109	1000.0	-0.22591726	0.1497347	0.22547214	-1.3270879	12000	-0.009997457	26.64712	-1.2777746e-06	-0.01489687	3.661398	-8.970503e-09	3.722994804382324
3	-57.791122	4.9406986	-49.88676	-63.43729	1000.0	-0.19714242	0.15767904	0.41882983	-1.4571766	16000	-0.03237869	25.899193	-4.1350722e-07	-0.013952255	3.6789665	3.939867e-08	4.83684515953064
4	-58.97602	0.3341073	-58.550354	-59.477974	1000.0	-0.22933841	0.14578938	0.27881783	-1.3528357	20000	-0.037248258	25.614914	-5.4202974e-07	-0.015918255	3.6631246	7.2091815e-08	5.956886053085327
5	-56.856853	3.9430637	-50.264015	-60.289387	1000.0	-0.2129447	0.15814844	0.25076216	-1.3538915	24000	-0.076874405	24.92349	-2.6402995e-07	-0.015512943	3.6554582	7.382035e-08	7.094759225845337
6	-61.53397	6.5729423	-55.310764	-72.428986	1000.0	-0.23184985	0.14607646	0.27213922	-1.4314352	28000	-0.020437129	28.799543	-8.996576e-07	-0.018002033	3.6648316	-1.17182736e-07	8.230530977249146
7	-60.325493	1.9574699	-57.400692	-62.49849	1000.0	-0.22161391	0.14639762	0.37394005	-1.3656323	32000	-0.048040196	26.886372	-7.4412674e-07	-0.018415928	3.6837728	1.6212468e-08	9.389214038848877
8	-59.263405	2.4829016	-55.57704	-62.433964	1000.0	-0.23915535	0.14919603	0.26698813	-1.3566904	36000	-0.02812472	26.023102	-6.5984204e-07	-0.01837635	3.668832	1.0707974e-07	10.507636547088623
9	-58.21624	2.0641572	-54.951237	-60.223698	1000.0	-0.24036732	0.15311016	0.345787	-1.348672	40000	-0.020273287	25.992275	-9.4715506e-07	-0.021389008	3.6684008	3.080666e-07	11.905985116958618
